,Train,Test
Fold 1,"[ 0  1  3  4  5  6  7  8  9 10 11 12 13 14 15 17 18 19 20 21 22 23 24 25
 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
 51 52 53 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 74 76 77 78
 79 80 81 82 83 84 85 87 88 89 90 91 92 94 96 97 98 99]",[ 2 16 26 54 55 73 75 86 93 95]
Fold 2,"[ 0  1  2  3  4  5  6  9 10 11 12 14 15 16 17 18 19 20 21 23 25 26 27 28
 29 31 32 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 54 55
 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 79 80
 81 82 83 84 85 86 87 88 89 90 91 93 94 95 96 97 98 99]",[ 7  8 13 22 24 30 33 53 78 92]
Fold 3,"[ 0  1  2  4  5  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 44 46 47 49 50 51 52
 53 54 55 56 57 58 59 60 61 63 64 65 66 67 68 69 70 72 73 74 75 77 78 79
 80 81 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98]",[ 3  6 43 45 48 62 71 76 82 99]
Fold 4,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 19 20 21 22 23 24
 25 26 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
 50 52 53 54 55 57 58 59 61 62 64 65 66 67 69 70 71 72 73 75 76 77 78 79
 81 82 83 84 85 86 87 88 89 91 92 93 94 95 96 97 98 99]",[18 27 51 56 60 63 68 74 80 90]
Fold 5,"[ 0  2  3  6  7  8  9 10 11 12 13 14 16 18 19 20 21 22 23 24 25 26 27 28
 29 30 31 32 33 34 35 36 37 39 43 44 45 46 47 48 49 50 51 52 53 54 55 56
 57 58 59 60 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81
 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99]",[ 1  4  5 15 17 38 40 41 42 61]
Fold 6,"[ 1  2  3  4  5  6  7  8  9 10 12 13 14 15 16 17 18 19 20 21 22 24 25 26
 27 29 30 31 32 33 36 37 38 39 40 41 42 43 44 45 46 47 48 49 51 53 54 55
 56 57 58 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80
 81 82 83 84 85 86 87 88 89 90 92 93 94 95 96 97 98 99]",[ 0 11 23 28 34 35 50 52 59 91]
Fold 7,"[ 0  1  2  3  4  5  6  7  8  9 11 12 13 15 16 17 18 19 20 21 22 23 24 25
 26 27 28 29 30 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51
 52 53 54 55 56 58 59 60 61 62 63 64 65 67 68 69 70 71 72 73 74 75 76 77
 78 80 81 82 83 86 87 88 90 91 92 93 94 95 96 97 98 99]",[10 14 31 32 57 66 79 84 85 89]
Fold 8,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 21 22 23 24 25
 26 27 28 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 50 51
 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 70 71 73 74 75 76 78
 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 95 96 99]",[19 20 29 49 69 72 77 94 97 98]
Fold 9,"[ 0  1  2  3  4  5  6  7  8  9 10 11 13 14 15 16 17 18 19 20 21 22 23 24
 26 27 28 29 30 31 32 33 34 35 36 38 40 41 42 43 44 45 47 48 49 50 51 52
 53 54 55 56 57 59 60 61 62 63 64 66 67 68 69 71 72 73 74 75 76 77 78 79
 80 82 83 84 85 86 87 89 90 91 92 93 94 95 96 97 98 99]",[12 25 37 39 46 58 65 70 81 88]
Fold 10,"[ 0  1  2  3  4  5  6  7  8 10 11 12 13 14 15 16 17 18 19 20 22 23 24 25
 26 27 28 29 30 31 32 33 34 35 37 38 39 40 41 42 43 45 46 48 49 50 51 52
 53 54 55 56 57 58 59 60 61 62 63 65 66 68 69 70 71 72 73 74 75 76 77 78
 79 80 81 82 84 85 86 88 89 90 91 92 93 94 95 97 98 99]",[ 9 21 36 44 47 64 67 83 87 96]
