fold_nr,train_items,test_items
1,"[  1   2   4   5   6   7   8   9  10  11  12  13  14  15  16  18  19  20
  21  22  23  24  25  26  28  29  30  31  32  33  34  35  36  37  38  39
  40  41  42  43  44  45  46  47  48  49  50  51  52  53  54  57  58  59
  60  61  62  63  64  65  66  67  68  69  70  71  72  73  75  77  78  79
  80  81  82  83  84  85  86  88  89  90  91  92  93  95  97  98  99 100]",[ 3 17 27 55 56 74 76 87 94 96]
2,"[  1   2   3   4   5   6   7  10  11  12  13  15  16  17  18  19  20  21
  22  24  26  27  28  29  30  32  33  35  36  37  38  39  40  41  42  43
  44  45  46  47  48  49  50  51  52  53  55  56  57  58  59  60  61  62
  63  64  65  66  67  68  69  70  71  72  73  74  75  76  77  78  80  81
  82  83  84  85  86  87  88  89  90  91  92  94  95  96  97  98  99 100]",[ 8  9 14 23 25 31 34 54 79 93]
3,"[ 1  2  3  5  6  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 45 47 48 50 51 52 53
 54 55 56 57 58 59 60 61 62 64 65 66 67 68 69 70 71 73 74 75 76 78 79 80
 81 82 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99]",[  4   7  44  46  49  63  72  77  83 100]
4,"[  1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18
  20  21  22  23  24  25  26  27  29  30  31  32  33  34  35  36  37  38
  39  40  41  42  43  44  45  46  47  48  49  50  51  53  54  55  56  58
  59  60  62  63  65  66  67  68  70  71  72  73  74  76  77  78  79  80
  82  83  84  85  86  87  88  89  90  92  93  94  95  96  97  98  99 100]",[19 28 52 57 61 64 69 75 81 91]
5,"[  1   3   4   7   8   9  10  11  12  13  14  15  17  19  20  21  22  23
  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  40  44  45
  46  47  48  49  50  51  52  53  54  55  56  57  58  59  60  61  63  64
  65  66  67  68  69  70  71  72  73  74  75  76  77  78  79  80  81  82
  83  84  85  86  87  88  89  90  91  92  93  94  95  96  97  98  99 100]",[ 2  5  6 16 18 39 41 42 43 62]
6,"[  2   3   4   5   6   7   8   9  10  11  13  14  15  16  17  18  19  20
  21  22  23  25  26  27  28  30  31  32  33  34  37  38  39  40  41  42
  43  44  45  46  47  48  49  50  52  54  55  56  57  58  59  61  62  63
  64  65  66  67  68  69  70  71  72  73  74  75  76  77  78  79  80  81
  82  83  84  85  86  87  88  89  90  91  93  94  95  96  97  98  99 100]",[ 1 12 24 29 35 36 51 53 60 92]
7,"[  1   2   3   4   5   6   7   8   9  10  12  13  14  16  17  18  19  20
  21  22  23  24  25  26  27  28  29  30  31  34  35  36  37  38  39  40
  41  42  43  44  45  46  47  48  49  50  51  52  53  54  55  56  57  59
  60  61  62  63  64  65  66  68  69  70  71  72  73  74  75  76  77  78
  79  81  82  83  84  87  88  89  91  92  93  94  95  96  97  98  99 100]",[11 15 32 33 58 67 80 85 86 90]
8,"[  1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18
  19  22  23  24  25  26  27  28  29  31  32  33  34  35  36  37  38  39
  40  41  42  43  44  45  46  47  48  49  51  52  53  54  55  56  57  58
  59  60  61  62  63  64  65  66  67  68  69  71  72  74  75  76  77  79
  80  81  82  83  84  85  86  87  88  89  90  91  92  93  94  96  97 100]",[20 21 30 50 70 73 78 95 98 99]
9,"[  1   2   3   4   5   6   7   8   9  10  11  12  14  15  16  17  18  19
  20  21  22  23  24  25  27  28  29  30  31  32  33  34  35  36  37  39
  41  42  43  44  45  46  48  49  50  51  52  53  54  55  56  57  58  60
  61  62  63  64  65  67  68  69  70  72  73  74  75  76  77  78  79  80
  81  83  84  85  86  87  88  90  91  92  93  94  95  96  97  98  99 100]",[13 26 38 40 47 59 66 71 82 89]
10,"[  1   2   3   4   5   6   7   8   9  11  12  13  14  15  16  17  18  19
  20  21  23  24  25  26  27  28  29  30  31  32  33  34  35  36  38  39
  40  41  42  43  44  46  47  49  50  51  52  53  54  55  56  57  58  59
  60  61  62  63  64  66  67  69  70  71  72  73  74  75  76  77  78  79
  80  81  82  83  85  86  87  89  90  91  92  93  94  95  96  98  99 100]",[10 22 37 45 48 65 68 84 88 97]
