question-id,item,construct,encoding
Q1,"The government is involved in the murder of innocent citizens and/or well-known public figures, and keeps this a seecret",gcb,1
Q2,The power held by heads of state is second to that of small unknown groups who really control world politics,gcb,1
Q3,"Secret organizations communicate with extraterrestrials, but keep this fact from the public",gcb,1
Q4,"The spread of certain viruses and/or diseases is the result of the deliberate, concealed efforts of some organization",gcb,1
Q5,"Groups of scientists manipulate, fabricate, or suppress evidence in order to deceive the public",gcb,1
Q6,"The government permits or perpetrates acts of terrorism on its own soil, disguising its involvement",gcb,1
Q7,"A small, secret group of people is responsible for making all major decisions, such as going to war",gcb,1
Q8,Evidence of alien contact is being concealed from the public,gcb,1
Q9,Technology with mind-control capacities is used on people without their knowledge,gcb,1
Q10,"New and advanced technology which would harm current industry is being suppressed	",gcb,1
Q11,The government uses people as patsies to hide its involvement in criminal activity,gcb,1
Q12,Certain significant events have been the result of the activity of a small group who secretly manipulate world events,gcb,1
Q13,Some UFO sightings and rumours are planned or staged in order to distract the public from real alien contact,gcb,1
Q14,"Experiments involving new drugs or technologies are routinely carried out on the public without their knowledge or consent	",gcb,1
Q15,A lot of important information is deliberately concealed from the public out of self-interest,gcb,1
