question-id,item,grammartical_item,construct,encoding
R1,test the quality of parts before shipment,i test the quality of parts before shipment,Realistic,1
R2,lay brick or tile,i lay brick or tile,Realistic,1
R3,work on an offshore oil-drilling rig,i work on an offshore oil-drilling rig,Realistic,1
R4,assemble electronic parts,i assemble electronic parts,Realistic,1
R5,operate a grinding machine in a factory,i operate a grinding machine in a factory,Realistic,1
R6,fix a broken faucet,i fix a broken faucet,Realistic,1
R7,assemble products in a factory,i assemble products in a factory,Realistic,1
R8,install flooring in houses,i install flooring in houses,Realistic,1
I1,study the structure of the human body,i study the structure of the human body,Investigative,1
I2,study animal behavior,i study animal behavior,Investigative,1
I3,do research on plants or animals,i do research on plants or animals,Investigative,1
I4,develop a new medical treatment or procedure,i develop a new medical treatment or procedure,Investigative,1
I5,conduct biological research,i conduct biological research,Investigative,1
I6,study whales and other types of marine life,i study whales and other types of marine life,Investigative,1
I7,work in a biology lab,i work in a biology lab,Investigative,1
I8,make a map of the bottom of an ocean,i make a map of the bottom of an ocean,Investigative,1
A1,conduct a musical choir,i conduct a musical choir,Artistic,1
A2,direct a play,i direct a play,Artistic,1
A3,design artwork for magazines,i design artwork for magazines,Artistic,1
A4,write a song,i write a song,Artistic,1
A5,write books or plays,i write books or plays,Artistic,1
A6,play a musical instrument,i play a musical instrument,Artistic,1
A7,perform stunts for a movie or television show,i perform stunts for a movie or television show,Artistic,1
A8,design sets for plays,i design sets for plays,Artistic,1
S1,give career guidance to people,i give career guidance to people,Social,1
S2,do volunteer work at a non-profit organization,i do volunteer work at a non-profit organization,Social,1
S3,help people who have problems with drugs or alcohol,i help people who have problems with drugs or alcohol,Social,1
S4,teach an individual an exercise routine,i teach an individual an exercise routine,Social,1
S5,help people with family-related problems,i help people with family-related problems,Social,1
S6,supervise the activities of children at a camp,i supervise the activities of children at a camp,Social,1
S7,teach children how to read,i teach children how to read,Social,1
S8,help elderly people with their daily activities,i help elderly people with their daily activities,Social,1
E1,sell restaurant franchises to individuals,i sell restaurant franchises to individuals,Enterprising,1
E2,sell merchandise at a department store,i sell merchandise at a department store,Enterprising,1
E3,manage the operations of a hotel,i manage the operations of a hotel,Enterprising,1
E4,operate a beauty salon or barber shop,i operate a beauty salon or barber shop,Enterprising,1
E5,manage a department within a large company,i manage a department within a large company,Enterprising,1
E6,manage a clothing store,i manage a clothing store,Enterprising,1
E7,sell houses,i sell houses,Enterprising,1
E8,run a toy store,i run a toy store,Enterprising,1
C1,generate the monthly payroll checks for an office,i generate the monthly payroll checks for an office,Conventional,1
C2,inventory supplies using a hand-held computer,i inventory supplies using a hand-held computer,Conventional,1
C3,use a computer program to generate customer bills,i use a computer program to generate customer bills,Conventional,1
C4,maintain employee records,i maintain employee records,Conventional,1
C5,compute and record statistical and other numerical data,i compute and record statistical and other numerical data,Conventional,1
C6,operate a calculator,i operate a calculator,Conventional,1
C7,handle customers' bank transactions,i handle customers' bank transactions,Conventional,1
C8,keep shipping and receiving records,i keep shipping and receiving records,Conventional,1
