question-id,item,grammartical_item,construct,encoding
q1,Have a vivid imagination,i have a vivid imagination.,O,1
q2,Hold a grudge,i hold a grudge.,A,-1
q3,Do not mind being the centre of attention,i do not mind being the centre of attention.,E,1
q4,Do not like poetry,i do not like poetry.,O,-1
q5,Complete tasks successfully,i complete tasks successfully.,C,1
q6,Believe that others have good intentions,i believe that others have good intentions.,A,1
q7,Avoid philosophical discussions,i avoid philosophical discussions.,O,-1
q8,Need a push to get started,i need a push to get started.,C,-1
q9,Cut others to pieces,i cut others to pieces.,A,-1
q10,Make friends easily,i make friends easily.,E,1
q11,Feel comfortable with myself,i feel comfortable with myself.,N,-1
q12,Often feel blue,i often feel blue.,N,1
q13,Am easy to satisfy,i am easy to satisfy.,A,1
q14,Keep in the background,i keep in the background.,E,-1
q15,Am always prepared,i am always prepared.,C,1
q16,Enjoy wild flights of fantasy,i enjoy wild flights of fantasy.,O,1
q17,Get stressed out easily,i get stressed out easily.,N,1
q18,Avoid contact with others,i avoid contact with others.,E,-1
q19,Am not easily bothered by things,i am not easily bothered by things.,N,-1
q20,Shirk my duties,i shirk my duties.,C,-1
q21,Can say things beautifully,i can say things beautifully.,O,1
q22,Suspect hidden motives in others,i suspect hidden motives in others.,A,-1
q23,Cheer people up,i cheer people up.,E,1
q24,Am not interested in abstract ideas,i am not interested in abstract ideas.,O,-1
q25,Do things according to a plan,i do things according to a plan.,C,1
q26,Am concerned about others,i am concerned about others.,A,1
q27,Am relaxed most of the time,i am relaxed most of the time.,N,-1
q28,Waste my time,i waste my time.,C,-1
q29,Dont talk a lot,i dont talk a lot.,E,-1
q30,Dislike myself,i dislike myself.,N,1
q31,Enjoy thinking about things,i enjoy thinking about things.,O,1
q32,Get back at others,i get back at others.,A,-1
q33,Warm up quickly to others,i warm up quickly to others.,E,1
q34,Do not enjoy going to art museums,i do not enjoy going to art museums.,O,-1
q35,Follow through with my plans,i follow through with my plans.,C,1
q36,Make people feel at ease,i make people feel at ease.,A,1
q37,Seldom feel blue,i seldom feel blue.,N,-1
q38,Mess things up,i mess things up.,C,-1
q39,Have little to say,i have little to say.,E,-1
q40,Fear for the worst,i fear for the worst.,N,1
q41,Carry the conversation to a higher level,i carry the conversation to a higher level.,O,1
q42,Believe that I am better than others,i believe that i am better than others.,A,-1
q43,Talk to a lot of different people at parties,i talk to a lot of different people at parties.,E,1
q44,Tend to vote for conservative political candidates,i tend to vote for conservative political candidates.,O,-1
q45,Am exacting in my work,i am exacting in my work.,C,1
q46,Accept people as they are,i accept people as they are.,A,1
q47,Am not easily frustrated,i am not easily frustrated.,N,-1
q48,Dont put my mind on the task at hand,i dont put my mind on the task at hand.,C,-1
q49,Keep others at a distance,i keep others at a distance.,E,-1
q50,Panic easily,i panic easily.,N,1
q51,Tend to vote for liberal political candidates,i tend to vote for liberal political candidates.,O,1
q52,Contradict others,i contradict others.,A,-1
q53,Know how to captivate people,i know how to captivate people.,E,1
q54,Am not interested in theoretical discussions,i am not interested in theoretical discussions.,O,-1
q55,Make plans and stick to them,i make plans and stick to them.,C,1
q56,Trust what people say,i trust what people say.,A,1
q57,Rarely lose my composure,i rarely lose my composure.,N,-1
q58,Leave things unfinished,i leave things unfinished.,C,-1
q59,Dont like to draw attention to myself,i dont like to draw attention to myself.,E,-1
q60,Worry about things,i worry about things.,N,1
q61,Enjoy hearing new ideas,i enjoy hearing new ideas.,O,1
q62,Make demands on others,i make demands on others.,A,-1
q63,Am the life of the party,i am the life of the party.,E,1
q64,Have difficulty understanding abstract ideas,i have difficulty understanding abstract ideas.,O,-1
q65,Finish what I start,i finish what i start.,C,1
q66,Respect others,i respect others.,A,1
q67,Rarely get irritated,i rarely get irritated.,N,-1
q68,Make a mess of things,i make a mess of things.,C,-1
q69,Find it difficult to approach others,i find it difficult to approach others.,E,-1
q70,Have frequent mood swings,i have frequent mood swings.,N,1
q71,Have a rich vocabulary,i have a rich vocabulary.,O,1
q72,Am out for my own personal gain,i am out for my own personal gain.,A,-1
q73,Am skilled in handling social situations,i am skilled in handling social situations.,E,1
q74,Do not like art,i do not like art.,O,-1
q75,Get chores done right away,i get chores done right away.,C,1
q76,Sympathise with others feelings,i sympathise with others feelings.,A,1
q77,Seldom get mad,i seldom get mad.,N,-1
q78,Dont see things through,i dont see things through.,C,-1
q79,Retreat from others,i retreat from others.,E,-1
q80,Am often down in the dumps,i am often down in the dumps.,N,1
q81,Get excited by new ideas,i get excited by new ideas.,O,1
q82,Have a sharp tongue,i have a sharp tongue.,A,-1
q83,Feel comfortable around people,i feel comfortable around people.,E,1
q84,Believe that too much tax money goes to support artists,i believe that too much tax money goes to support artists.,O,-1
q85,Pay attention to details,i pay attention to details.,C,1
q86,Have a good word for everyone,i have a good word for everyone.,A,1
q87,Remain calm under pressure,i remain calm under pressure.,N,-1
q88,Find it difficult to get down to work,i find it difficult to get down to work.,C,-1
q89,Would describe my experiences as somewhat dull,i would describe my experiences as somewhat dull.,E,-1
q90,Am filled with doubts about things,i am filled with doubts about things.,N,1
q91,Believe in the importance of art,i believe in the importance of art.,O,1
q92,Insult people,i insult people.,A,-1
q93,Start conversations,i start conversations.,E,1
q94,Rarely look for a deeper meaning in things,i rarely look for a deeper meaning in things.,O,-1
q95,Carry out my plans,i carry out my plans.,C,1
q96,Treat all people equally,i treat all people equally.,A,1
q97,Am very pleased with myself,i am very pleased with myself.,N,-1
q98,Do just enough work to get by,i do just enough work to get by.,C,-1
q99,Am hard to get to know,i am hard to get to know.,E,-1
q100,Feel threatened easily,i feel threatened easily.,N,1
